beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Other,316,521,572,622,629,21,625,2031,507.8,96.8,97.8,0.5,23.1,3511.1,5788.9,6355.6,6911.1,6944.4,5642.2
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Property,682,659,550,621,699,54,730,2512,628,-8.9,7,17.6,16.2,7577.8,7322.2,6111.1,6900,8111.1,6977.8
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Violent,222,293,278,237,303,16,311,1030,257.5,6.8,40.1,31.2,20.8,2466.7,3255.6,3088.9,2633.3,3455.6,2861.1
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Other,794,1164,1172,1165,1020,21,977,4295,1073.8,46.7,23,-16.1,-9,3452.2,5060.9,5095.7,5065.2,4247.8,4668.7
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Property,1172,1332,1189,1465,1280,81,1299,5158,1289.5,25,10.8,-11.3,0.7,5095.7,5791.3,5169.6,6369.6,5647.8,5606.5
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Violent,766,764,696,637,577,45,598,2863,715.8,-16.8,-21.9,-6.1,-16.5,3330.4,3321.7,3026.1,2769.6,2600,3112.2
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Other,251,347,431,476,472,12,460,1505,376.2,89.6,83.3,-3.4,22.3,2281.8,3154.5,3918.2,4327.3,4181.8,3420
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Property,320,387,357,463,429,14,435,1527,381.8,44.7,35.9,-6,13.9,2909.1,3518.2,3245.5,4209.1,3954.5,3470.9
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Violent,315,271,259,241,184,11,181,1086,271.5,-23.5,-42.5,-24.9,-33.3,2863.6,2463.6,2354.5,2190.9,1645.5,2468.2
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Other,195,325,316,378,382,6,375,1214,303.5,93.8,92.3,-0.8,23.6,1950,3250,3160,3780,3750,3035
