beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Property,1929,1706,1787,1404,1831,5422,1807.3,-7.4,-5.1,2.5,1,3782.4,3345.1,3503.9,3590.2,3543.7
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Property,784,762,677,544,692,2223,741,-13.6,-11.7,2.2,-7,2903.7,2822.2,2507.4,2563,2744.4
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Property,804,1058,861,652,812,2723,907.7,7.1,1,-5.7,-11,3828.6,5038.1,4100,3866.7,4322.4
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Property,1473,1462,1375,990,1260,4310,1436.7,-6.7,-14.5,-8.4,-12,3202.2,3178.3,2989.1,2739.1,3123.3
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Property,249,265,273,230,297,787,262.3,9.6,19.3,8.8,13,3557.1,3785.7,3900,4242.9,3747.1
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Property,2284,2283,2508,2259,2867,7075,2358.3,9.8,25.5,14.3,22,9516.7,9512.5,10450,11945.8,9826.2
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Property,1812,1682,1952,1609,2032,5446,1815.3,7.7,12.1,4.1,12,5033.3,4672.2,5422.2,5644.4,5042.5
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Property,1948,2121,2127,1741,2175,6196,2065.3,9.2,11.7,2.3,5,5565.7,6060,6077.1,6214.3,5900.9
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Property,1408,1429,1606,1296,1631,4443,1481,14.1,15.8,1.6,10,7040,7145,8030,8155,7405
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Property,991,1007,1001,747,1016,2999,999.7,1,2.5,1.5,2,3539.3,3596.4,3575,3628.6,3570.4
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Property,1576,1807,1756,1448,1826,5139,1713,11.4,15.9,4,7,5083.9,5829,5664.5,5890.3,5525.8
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Property,843,821,682,562,709,2346,782,-19.1,-15.9,4,-9,3372,3284,2728,2836,3128
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Property,492,512,424,257,334,1428,476,-13.8,-32.1,-21.2,-30,2733.3,2844.4,2355.6,1855.6,2644.4
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Property,1017,1010,859,679,909,2886,962,-15.5,-10.6,5.8,-6,2748.6,2729.7,2321.6,2456.8,2600
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Property,673,905,834,518,682,2412,804,23.9,1.3,-18.2,-15,3738.9,5027.8,4633.3,3788.9,4466.7
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Property,1354,1406,1427,1133,1450,4187,1395.7,5.4,7.1,1.6,4,4669,4848.3,4920.7,5000,4812.8
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Property,575,594,510,393,519,1679,559.7,-11.3,-9.7,1.8,-7,3194.4,3300,2833.3,2883.3,3109.4
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Property,1685,1518,1497,1156,1507,4700,1566.7,-11.2,-10.6,0.7,-4,6480.8,5838.5,5757.7,5796.2,6025.8
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Property,1093,1057,925,760,978,3075,1025,-15.4,-10.5,5.7,-5,3903.6,3775,3303.6,3492.9,3660.7
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Property,583,644,666,449,596,1893,631,14.2,2.2,-10.5,-6,2776.2,3066.7,3171.4,2838.1,3004.8
20G80,20,25.33626534,City Limits,37000,Property,1319,1283,1332,1045,1344,3934,1311.3,1,1.9,0.9,2,3564.9,3467.6,3600,3632.4,3544.1
21I10,21,0.00549966,Intercontinental Airport,0,Property,258,141,185,183,220,584,194.7,-28.3,-14.7,18.9,13,NA,NA,NA,NA,NA
21I20,21,0.01205019,Intercontinental Airport,0,Property,3,0,9,3,5,12,4,200,66.7,-44.4,25,NA,NA,NA,NA,NA
21I30,21,0.01180375,Intercontinental Airport,0,Property,7,2,2,0,1,11,3.7,-71.4,-85.7,-50,-73,NA,NA,NA,NA,NA
21I40,21,0.00923163,Intercontinental Airport,0,Property,15,6,2,4,4,23,7.7,-86.7,-73.3,100,-48,NA,NA,NA,NA,NA
21I50,21,14.61100076,Intercontinental Airport,0,Property,515,325,446,439,532,1286,428.7,-13.4,3.3,19.3,24,NA,NA,NA,NA,NA
21I70,21,0.01945113,Intercontinental Airport,0,Property,5,1,2,1,2,8,2.7,-60,-60,0,-26,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Property,1637,1417,1665,1393,1821,4719,1573,1.7,11.2,9.4,16,20462.5,17712.5,20812.5,22762.5,19662.5
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Property,1086,1129,1062,865,1107,3277,1092.3,-2.2,1.9,4.2,1,2585.7,2688.1,2528.6,2635.7,2600.7
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Property,1014,1121,1044,879,1114,3179,1059.7,3,9.9,6.7,5,4408.7,4873.9,4539.1,4843.5,4607.4
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Property,1669,1375,1341,1189,1542,4385,1461.7,-19.7,-7.6,15,5,5563.3,4583.3,4470,5140,4872.3
