beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Burglary,159,119,106,105,111,13,79,441,110.2,-6.7,-33.6,-28.8,-28.3,588.9,440.7,392.6,388.9,411.1,292.6,408.1,111
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Burglary,121,162,142,113,128,21,110,545,136.2,-21,-32.1,-14.1,-19.2,576.2,771.4,676.2,538.1,609.5,523.8,648.6,128
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Burglary,290,279,252,226,244,49,237,1001,250.2,-12.5,-15.1,-2.9,-5.3,630.4,606.5,547.8,491.3,530.4,515.2,543.9,244
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Burglary,51,51,46,45,38,16,42,180,45,-25.5,-17.6,10.5,-6.7,728.6,728.6,657.1,642.9,542.9,600,642.9,38
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Burglary,212,177,186,134,109,21,104,606,151.5,-38.4,-41.2,-4.6,-31.4,883.3,737.5,775,558.3,454.2,433.3,631.2,109
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Burglary,303,296,264,229,241,37,204,1030,257.5,-18.6,-31.1,-15.4,-20.8,841.7,822.2,733.3,636.1,669.4,566.7,715.3,241
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Burglary,392,450,367,412,362,67,327,1591,397.8,-19.6,-27.3,-9.7,-17.8,1120,1285.7,1048.6,1177.1,1034.3,934.3,1136.6,362
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Burglary,234,250,215,196,199,41,182,860,215,-20.4,-27.2,-8.5,-15.3,1170,1250,1075,980,995,910,1075,199
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Burglary,191,186,142,163,211,41,212,702,175.5,13.4,14,0.5,20.8,682.1,664.3,507.1,582.1,753.6,757.1,626.8,211
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Burglary,280,269,230,284,212,56,199,995,248.8,-21.2,-26,-6.1,-20,903.2,867.7,741.9,916.1,683.9,641.9,802.6,212
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Burglary,150,135,152,144,136,39,148,567,141.8,0.7,9.6,8.8,4.4,600,540,608,576,544,592,567.2,136
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Burglary,107,102,84,61,69,22,81,316,79,-32.4,-20.6,17.4,2.5,594.4,566.7,466.7,338.9,383.3,450,438.9,69
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Burglary,212,183,167,146,129,27,116,625,156.2,-29.5,-36.6,-10.1,-25.7,573,494.6,451.4,394.6,348.6,313.5,422.2,129
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Burglary,117,148,137,131,121,25,108,537,134.2,-18.2,-27,-10.7,-19.5,650,822.2,761.1,727.8,672.2,600,745.6,121
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Burglary,291,288,214,238,219,48,189,959,239.8,-24,-34.4,-13.7,-21.2,1003.4,993.1,737.9,820.7,755.2,651.7,826.9,219
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Burglary,140,99,85,76,65,9,54,325,81.2,-34.3,-45.5,-16.9,-33.5,777.8,550,472.2,422.2,361.1,300,451.1,65
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Burglary,312,253,278,225,177,36,162,933,233.2,-30,-36,-8.5,-30.5,1200,973.1,1069.2,865.4,680.8,623.1,896.9,177
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Burglary,278,230,180,184,174,41,164,768,192,-24.3,-28.7,-5.7,-14.6,992.9,821.4,642.9,657.1,621.4,585.7,685.7,174
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Burglary,143,157,175,119,122,33,123,573,143.2,-22.3,-21.7,0.8,-14.1,681,747.6,833.3,566.7,581,585.7,681.9,122
20G80,20,25.33626534,City Limits,37000,Burglary,374,321,298,299,200,36,161,1118,279.5,-37.7,-49.8,-19.5,-42.4,1010.8,867.6,805.4,808.1,540.5,435.1,755.4,200
21I10,21,0.00549966,Intercontinental Airport,0,Burglary,0,1,0,0,0,0,0,1,0.2,-100,-100,NA,-100,NA,NA,NA,NA,NA,NA,NA,0
21I20,21,0.01205019,Intercontinental Airport,0,Burglary,0,0,0,1,0,0,0,1,0.2,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA,NA,0
21I30,21,0.01180375,Intercontinental Airport,0,Burglary,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I40,21,0.00923163,Intercontinental Airport,0,Burglary,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
21I50,21,14.61100076,Intercontinental Airport,0,Burglary,1,1,5,5,1,0,0,12,3,0,-100,-100,-100,NA,NA,NA,NA,NA,NA,NA,1
21I70,21,0.01945113,Intercontinental Airport,0,Burglary,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Burglary,88,111,120,77,69,26,85,377,94.2,-37.8,-23.4,23.2,-9.8,1100,1387.5,1500,962.5,862.5,1062.5,1177.5,69
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Burglary,219,185,157,159,148,62,175,649,162.2,-20,-5.4,18.2,7.9,521.4,440.5,373.8,378.6,352.4,416.7,386.2,148
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Burglary,139,162,137,103,88,39,101,490,122.5,-45.7,-37.7,14.8,-17.6,604.3,704.3,595.7,447.8,382.6,439.1,532.6,88
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Burglary,143,107,100,77,72,14,54,356,89,-32.7,-49.5,-25,-39.3,476.7,356.7,333.3,256.7,240,180,296.7,72
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Burglary,147,118,112,94,93,31,96,417,104.2,-21.2,-18.6,3.2,-7.9,525,421.4,400,335.7,332.1,342.9,372.1,93
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Burglary,136,155,124,109,97,19,88,485,121.2,-37.4,-43.2,-9.3,-27.4,591.3,673.9,539.1,473.9,421.7,382.6,527,97
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Burglary,160,129,128,90,96,33,97,443,110.8,-25.6,-24.8,1,-12.5,888.9,716.7,711.1,500,533.3,538.9,615.6,96
24C10,24,5.44044978,Kingwood,13000,Burglary,55,46,38,56,22,6,24,162,40.5,-52.2,-47.8,9.1,-40.7,423.1,353.8,292.3,430.8,169.2,184.6,311.5,22
24C20,24,6.8291794,Kingwood,18000,Burglary,37,31,28,17,20,4,23,96,24,-35.5,-25.8,15,-4.2,205.6,172.2,155.6,94.4,111.1,127.8,133.3,20
24C30,24,9.78735527,Kingwood,29000,Burglary,49,36,34,31,27,1,21,128,32,-25,-41.7,-22.2,-34.4,169,124.1,117.2,106.9,93.1,72.4,110.3,27
24C40,24,35.7992771,Kingwood,6000,Burglary,37,28,19,31,15,7,17,93,23.2,-46.4,-39.3,13.3,-26.7,616.7,466.7,316.7,516.7,250,283.3,386.7,15
24C50,24,7.51791807,Kingwood,5000,Burglary,65,45,51,47,37,14,43,180,45,-17.8,-4.4,16.2,-4.4,1300,900,1020,940,740,860,900,37
24C60,24,4.86823328,Kingwood,21000,Burglary,28,14,6,5,3,0,1,28,7,-78.6,-92.9,-66.7,-85.7,133.3,66.7,28.6,23.8,14.3,4.8,33.3,3
21I60,21,0.01236886,Intercontinental Airport,0,Burglary,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
