beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Theft,334,319,268,272,346,83,352,1205,301.2,8.5,10.3,1.7,16.9,1590.5,1519,1276.2,1295.2,1647.6,1676.2,1434.3,346
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Theft,376,358,317,329,331,82,333,1335,333.8,-7.5,-7,0.6,-0.2,1790.5,1704.8,1509.5,1566.7,1576.2,1585.7,1589.5,331
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Theft,186,173,144,196,164,22,143,677,169.2,-5.2,-17.3,-12.8,-15.5,2066.7,1922.2,1600,2177.8,1822.2,1588.9,1880,164
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Theft,654,680,524,597,809,187,844,2610,652.5,19,24.1,4.3,29.3,2725,2833.3,2183.3,2487.5,3370.8,3516.7,2718.8,809
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Theft,319,439,349,365,360,71,331,1513,378.2,-18,-24.6,-8.1,-12.5,1772.2,2438.9,1938.9,2027.8,2000,1838.9,2101.1,360
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Theft,997,873,763,822,844,204,830,3302,825.5,-3.3,-4.9,-1.7,0.5,2932.4,2567.6,2244.1,2417.6,2482.4,2441.2,2427.9,844
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Theft,1639,1402,1560,1927,1640,397,1568,6529,1632.2,17,11.8,-4.4,-3.9,5463.3,4673.3,5200,6423.3,5466.7,5226.7,5440.7,1640
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Theft,315,228,209,261,238,42,215,936,234,4.4,-5.7,-9.7,-8.1,2100,1520,1393.3,1740,1586.7,1433.3,1560,238
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Theft,579,453,529,578,505,129,492,2065,516.2,11.5,8.6,-2.6,-4.7,1654.3,1294.3,1511.4,1651.4,1442.9,1405.7,1474.9,505
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Theft,449,460,430,425,513,113,487,1828,457,11.5,5.9,-5.1,6.6,2040.9,2090.9,1954.5,1931.8,2331.8,2213.6,2077.3,513
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Theft,440,383,427,387,434,72,412,1631,407.8,13.3,7.6,-5.1,1,1257.1,1094.3,1220,1105.7,1240,1177.1,1165.1,434
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Theft,1246,1091,1109,1083,1066,265,1069,4349,1087.2,-2.3,-2,0.3,-1.7,2443.1,2139.2,2174.5,2123.5,2090.2,2096.1,2131.8,1066
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Theft,478,529,459,488,462,89,444,1938,484.5,-12.7,-16.1,-3.9,-8.4,1770.4,1959.3,1700,1807.4,1711.1,1644.4,1794.4,462
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Theft,516,704,548,558,534,121,520,2344,586,-24.1,-26.1,-2.6,-11.3,2457.1,3352.4,2609.5,2657.1,2542.9,2476.2,2790.5,534
