agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
Pecos County,County Total,0,1,1,15,39,151,20,227,15803,NA,2020,Pecos
Polk County,County Total,6,27,15,70,192,576,93,979,51880,NA,2020,Polk
Potter County,County Total,15,146,241,1302,1448,5052,1119,9323,214953,NA,2020,Potter
Presidio County,County Total,0,0,0,12,0,3,3,18,2728,NA,2020,Presidio
Rains County,County Total,0,5,0,14,14,37,5,75,12662,NA,2020,Rains
Randall County,County Total,3,25,8,36,106,295,38,511,40769,NA,2020,Randall
Reagan County,County Total,0,0,0,8,5,12,7,32,3896,NA,2020,Reagan
Real County,County Total,0,2,0,4,20,24,5,55,3455,NA,2020,Real
Red River County,County Total,1,4,1,28,48,51,13,146,11891,NA,2020,Red River
Reeves County,County Total,1,4,1,57,50,144,49,306,16181,NA,2020,Reeves
Refugio County,County Total,0,0,2,4,14,28,8,56,6878,NA,2020,Refugio
Roberts County,County Total,0,0,0,0,0,1,0,1,844,NA,2020,Roberts
Robertson County,County Total,1,4,8,31,114,108,25,291,17075,NA,2020,Robertson
Rockwall County,County Total,0,32,22,64,111,1019,103,1351,100630,NA,2020,Rockwall
Runnels County,County Total,1,4,2,25,75,53,8,168,10203,NA,2020,Runnels
Rusk County,County Total,1,23,10,115,236,753,121,1259,51251,NA,2020,Rusk
Sabine County,County Total,3,2,2,14,30,23,12,86,9228,NA,2020,Sabine
San Augustine County,County Total,0,2,0,11,27,19,9,68,8143,NA,2020,San Augustine
San Jacinto County,County Total,0,31,1,6,325,318,68,749,29039,NA,2020,San Jacinto
San Patricio County,County Total,2,23,14,134,178,645,80,1076,58648,NA,2020,San Patricio
San Saba County,County Total,4,1,1,17,13,39,10,85,6026,NA,2020,San Saba
Schleicher County,County Total,0,0,0,2,14,4,0,20,2715,NA,2020,Schleicher
Scurry County,County Total,1,5,1,85,69,124,13,298,16622,NA,2020,Scurry
Shackelford County,County Total,0,0,0,4,3,8,0,15,3241,NA,2020,Shackelford
Shelby County,County Total,1,9,1,45,147,193,24,420,24037,NA,2020,Shelby
Sherman County,County Total,0,1,0,0,1,4,1,7,3012,NA,2020,Sherman
Smith County,County Total,18,106,94,652,991,3637,456,5954,234512,NA,2020,Smith
Somervell County,County Total,0,10,1,4,34,36,0,85,9170,NA,2020,Somervell
Starr County,County Total,3,8,8,114,168,430,84,815,64812,NA,2020,Starr
Stephens County,County Total,0,2,2,18,37,106,17,182,9307,NA,2020,Stephens
Sterling County,County Total,0,0,0,4,5,8,3,20,1306,NA,2020,Sterling
Stonewall County,County Total,0,0,0,2,0,0,0,2,1330,NA,2020,Stonewall
Sutton County,County Total,0,1,0,5,11,6,3,26,3733,NA,2020,Sutton
Swisher County,County Total,0,3,2,42,19,105,9,180,6723,NA,2020,Swisher
Tarrant County,County Total,161,1099,1538,6079,6298,37546,6495,59216,2071940,NA,2020,Tarrant
Taylor County,County Total,4,151,63,371,496,2148,216,3449,143993,NA,2020,Taylor
Terry County,County Total,0,4,1,27,53,65,94,244,12258,NA,2020,Terry
Throckmorton County,County Total,0,0,0,3,3,3,0,9,1481,NA,2020,Throckmorton
Titus County,County Total,0,24,13,96,119,354,58,664,32675,NA,2020,Titus
Tom Green County,County Total,8,96,41,266,537,2365,347,3660,119778,NA,2020,Tom Green
Travis County,County Total,55,669,1208,3813,5820,31693,4734,47992,1343839,NA,2020,Travis
Trinity County,County Total,1,2,2,7,19,36,9,76,11841,NA,2020,Trinity
Tyler County,County Total,0,3,5,30,80,80,25,223,21588,NA,2020,Tyler
Upshur County,County Total,3,18,7,62,134,303,48,575,38510,NA,2020,Upshur
Upton County,County Total,0,0,0,4,3,10,3,20,3682,NA,2020,Upton
Uvalde County,County Total,0,8,6,79,103,557,39,792,26684,NA,2020,Uvalde
Val Verde County,County Total,1,27,15,57,184,436,50,770,48864,NA,2020,Val Verde
Van Zandt County,County Total,2,16,5,85,85,183,50,426,55326,NA,2020,Van Zandt
Victoria County,County Total,6,56,53,315,450,1524,157,2561,92367,NA,2020,Victoria
Walker County,County Total,1,33,24,163,154,612,94,1081,73266,NA,2020,Walker
Waller County,County Total,3,44,34,94,179,409,60,823,54943,NA,2020,Waller
Ward County,County Total,0,7,3,38,60,201,25,334,12125,NA,2020,Ward
Washington County,County Total,1,24,8,61,63,318,28,503,36010,NA,2020,Washington
Webb County,County Total,12,99,157,664,706,3166,241,5045,274048,NA,2020,Webb
Wharton County,County Total,2,9,15,117,159,561,84,947,41445,NA,2020,Wharton
Wheeler County,County Total,0,1,1,1,3,9,0,15,3257,NA,2020,Wheeler
Wichita County,County Total,9,87,81,318,728,2570,327,4120,131830,NA,2020,Wichita
Wilbarger County,County Total,0,9,5,26,34,107,25,206,12647,NA,2020,Wilbarger
Willacy County,County Total,3,8,4,85,89,153,14,356,18660,NA,2020,Willacy
Williamson County,County Total,9,198,120,374,1125,5997,509,8332,565745,NA,2020,Williamson
Wilson County,County Total,1,17,0,27,89,166,43,343,49534,NA,2020,Wilson
Winkler County,County Total,0,1,1,13,68,116,22,221,8094,NA,2020,Winkler
Wise County,County Total,3,30,6,88,99,499,66,791,71069,NA,2020,Wise
Wood County,County Total,3,14,2,32,127,259,33,470,46493,NA,2020,Wood
Yoakum County,County Total,0,0,0,6,10,47,5,68,8785,NA,2020,Yoakum
Young County,County Total,2,12,3,19,79,73,9,197,17893,NA,2020,Young
Zapata County,County Total,0,0,3,13,36,72,0,124,14142,NA,2020,Zapata
Zavala County,County Total,1,1,0,16,25,39,8,90,11813,NA,2020,Zavala
Anderson County,County Total,1,16,6,84,98,339,38,582,18886,NA,2021,Anderson
Andrews County,County Total,0,8,2,47,36,176,29,298,19149,NA,2021,Andrews
Angelina County,County Total,5,36,23,211,336,1116,149,1876,80574,NA,2021,Angelina
Aransas County,County Total,3,17,6,76,159,491,48,800,29853,NA,2021,Aransas
Archer County,County Total,0,0,0,1,2,3,2,8,1711,NA,2021,Archer
Armstrong County,County Total,0,0,0,1,1,3,3,8,1847,NA,2021,Armstrong
Atascosa County,County Total,9,3,8,124,167,650,132,1093,52543,NA,2021,Atascosa
Austin County,County Total,1,9,7,37,55,148,39,296,29836,NA,2021,Austin
Bailey County,County Total,0,1,1,5,6,23,3,39,6588,NA,2021,Bailey
Bandera County,County Total,3,3,1,28,43,94,22,194,23980,NA,2021,Bandera
Bastrop County,County Total,1,54,19,268,238,757,162,1499,93656,NA,2021,Bastrop
Baylor County,County Total,0,0,0,2,4,7,6,19,3465,NA,2021,Baylor
Bee County,County Total,0,8,6,94,153,329,48,638,32255,NA,2021,Bee
Bell County,County Total,26,212,143,1011,1038,4228,750,7408,368982,NA,2021,Bell
Bexar County,County Total,183,1483,1849,8995,9099,51467,10104,83180,2043748,NA,2021,Bexar
Blanco County,County Total,1,4,4,19,38,68,5,139,10072,NA,2021,Blanco
Borden County,County Total,0,0,0,1,4,7,2,14,706,NA,2021,Borden
Bosque County,County Total,0,2,0,16,46,66,12,142,18465,NA,2021,Bosque
Bowie County,County Total,10,71,41,306,248,1392,212,2280,91026,NA,2021,Bowie
Brazoria County,County Total,9,133,88,589,658,4016,474,5967,384943,NA,2021,Brazoria
Brazos County,County Total,10,166,75,392,643,3335,382,5003,234250,NA,2021,Brazos
Brewster County,County Total,1,2,0,8,25,20,13,69,9143,NA,2021,Brewster
Briscoe County,County Total,0,0,0,0,2,7,0,9,1459,NA,2021,Briscoe
Brooks County,County Total,0,2,0,13,20,25,3,63,6871,NA,2021,Brooks
Brown County,County Total,0,39,9,117,184,524,51,924,35720,NA,2021,Brown
Burleson County,County Total,0,5,2,31,37,52,17,144,18461,NA,2021,Burleson
Burnet County,County Total,2,39,4,81,114,323,57,620,46718,NA,2021,Burnet
Caldwell County,County Total,6,7,1,43,47,170,60,334,42484,NA,2021,Caldwell
Calhoun County,County Total,0,10,1,44,50,120,18,243,19247,NA,2021,Calhoun
Callahan County,County Total,0,1,0,10,11,16,14,52,10130,NA,2021,Callahan
Cameron County,County Total,18,192,213,1210,1067,5922,429,9051,415786,NA,2021,Cameron
Camp County,County Total,1,6,2,19,38,86,10,162,12997,NA,2021,Camp
Carson County,County Total,0,0,0,0,2,4,5,11,5766,NA,2021,Carson
Cass County,County Total,1,14,1,40,87,158,57,358,29132,NA,2021,Cass
Castro County,County Total,0,2,1,7,8,15,10,43,7254,NA,2021,Castro
Chambers County,County Total,2,22,11,100,121,513,105,874,42064,NA,2021,Chambers
Cherokee County,County Total,5,23,8,135,161,440,67,839,52411,NA,2021,Cherokee
Childress County,County Total,0,2,1,11,14,17,4,49,7080,NA,2021,Childress
Clay County,County Total,0,3,0,8,25,28,14,78,10427,NA,2021,Clay
Cochran County,County Total,0,1,0,8,11,9,1,30,2844,NA,2021,Cochran
Coke County,County Total,0,0,0,2,18,15,5,40,3291,NA,2021,Coke
Coleman County,County Total,0,0,0,9,43,23,12,87,7947,NA,2021,Coleman
Collin County,County Total,19,329,133,760,1198,8443,932,11814,978702,NA,2021,Collin
Collingsworth County,County Total,0,0,0,2,2,4,2,10,2831,NA,2021,Collingsworth
Colorado County,County Total,3,6,5,16,45,135,33,243,17686,NA,2021,Colorado
Comal County,County Total,1,52,37,258,347,1372,280,2347,185044,NA,2021,Comal
Comanche County,County Total,1,9,2,17,32,107,14,182,13593,NA,2021,Comanche
Concho County,County Total,0,0,0,5,2,1,0,8,2717,NA,2021,Concho
Cooke County,County Total,0,23,8,88,117,382,58,676,40133,NA,2021,Cooke
Coryell County,County Total,0,61,13,105,169,602,74,1024,76791,NA,2021,Coryell
Crane County,County Total,0,1,0,2,0,6,5,14,4759,NA,2021,Crane
Crockett County,County Total,0,1,0,2,25,7,1,36,3460,NA,2021,Crockett
Crosby County,County Total,0,0,0,4,14,8,6,32,1092,NA,2021,Crosby
Dallam County,County Total,1,6,0,22,31,75,32,167,9796,NA,2021,Dallam
Dallas County,County Total,298,1231,3400,10620,11215,53565,17382,97711,2929932,NA,2021,Dallas
Dawson County,County Total,0,2,0,1,20,25,8,56,3542,NA,2021,Dawson
Deaf Smith County,County Total,0,3,2,47,59,179,26,316,17982,NA,2021,Deaf Smith
Delta County,County Total,0,1,0,2,11,7,1,22,5306,NA,2021,Delta
Denton County,County Total,11,397,146,781,914,6715,974,9938,720468,NA,2021,Denton
DeWitt County,County Total,1,10,2,89,27,135,32,296,15796,NA,2021,DeWitt
Donley County,County Total,0,0,0,4,15,11,6,36,3235,NA,2021,Donley
Duval County,County Total,0,2,0,15,31,53,38,139,7605,NA,2021,Duval
Eastland County,County Total,0,16,0,33,82,115,27,273,16327,NA,2021,Eastland
Ector County,County Total,13,77,105,539,535,2090,435,3794,171710,NA,2021,Ector
Edwards County,County Total,0,0,0,0,7,5,6,18,1897,NA,2021,Edwards
Ellis County,County Total,5,72,32,209,278,1675,234,2505,185455,NA,2021,Ellis
El Paso County,County Total,40,476,279,1434,1399,7545,1181,12354,836739,NA,2021,El Paso
Erath County,County Total,1,34,4,30,79,256,17,421,43358,NA,2021,Erath
Falls County,County Total,0,3,2,12,35,9,9,70,5510,NA,2021,Falls
Fannin County,County Total,2,18,4,52,66,138,30,310,35044,NA,2021,Fannin
Fayette County,County Total,2,12,0,36,39,161,24,274,25394,NA,2021,Fayette
Floyd County,County Total,0,5,0,18,19,31,11,84,5548,NA,2021,Floyd
Foard County,County Total,0,0,0,0,0,0,0,0,319,NA,2021,Foard
Fort Bend County,County Total,25,234,241,1084,1188,6927,786,10485,821030,NA,2021,Fort Bend
Franklin County,County Total,0,8,0,17,33,39,9,106,10018,NA,2021,Franklin
Freestone County,County Total,1,4,1,39,59,108,18,230,19684,NA,2021,Freestone
Frio County,County Total,1,3,2,21,69,65,20,181,10776,NA,2021,Frio
Gaines County,County Total,0,2,2,16,30,93,13,156,19212,NA,2021,Gaines
Galveston County,County Total,29,286,117,593,887,4497,759,7168,359222,NA,2021,Galveston
Garza County,County Total,0,3,0,2,9,15,0,29,6138,NA,2021,Garza
Gillespie County,County Total,1,19,2,9,42,102,7,182,26907,NA,2021,Gillespie
Glasscock County,County Total,0,0,0,0,6,9,2,17,1447,NA,2021,Glasscock
Goliad County,County Total,0,1,3,10,121,48,7,190,7591,NA,2021,Goliad
Gonzales County,County Total,0,14,3,172,41,113,24,367,18340,NA,2021,Gonzales
Gray County,County Total,3,9,3,55,91,276,24,461,21365,NA,2021,Gray
Grayson County,County Total,1,91,22,308,459,1126,250,2257,130857,NA,2021,Grayson
Gregg County,County Total,12,98,55,302,529,2042,345,3383,131163,NA,2021,Gregg
Grimes County,County Total,2,15,8,49,108,141,37,360,29520,NA,2021,Grimes
Guadalupe County,County Total,3,31,18,95,203,988,170,1508,110734,NA,2021,Guadalupe
Hale County,County Total,0,9,10,105,139,346,58,667,23216,NA,2021,Hale
Hall County,County Total,0,2,0,5,9,8,5,29,2745,NA,2021,Hall
Hamilton County,County Total,0,0,0,7,14,21,6,48,7038,NA,2021,Hamilton
Hansford County,County Total,0,0,0,1,3,9,1,14,5196,NA,2021,Hansford
Hardeman County,County Total,1,0,1,2,2,19,0,25,3273,NA,2021,Hardeman
Hardin County,County Total,1,27,4,40,98,222,82,474,58084,NA,2021,Hardin
Harris County,County Total,632,2820,9863,26904,23159,108072,24263,195713,4788935,NA,2021,Harris
Harrison County,County Total,4,9,21,155,233,564,124,1110,63854,NA,2021,Harrison
Hartley County,County Total,0,0,0,1,5,3,4,13,2790,NA,2021,Hartley
Haskell County,County Total,0,3,0,7,8,16,6,40,5648,NA,2021,Haskell
Hays County,County Total,5,175,65,486,515,2592,337,4175,249299,NA,2021,Hays
Hemphill County,County Total,0,1,0,0,1,13,1,16,3738,NA,2021,Hemphill
Henderson County,County Total,2,36,12,98,130,300,83,661,78900,NA,2021,Henderson
Hidalgo County,County Total,30,440,247,1773,1598,10907,844,15839,860066,NA,2021,Hidalgo
Hill County,County Total,1,27,10,52,80,306,62,538,35410,NA,2021,Hill
Hockley County,County Total,0,13,4,111,105,204,33,470,22702,NA,2021,Hockley
Hood County,County Total,0,9,4,51,83,587,52,786,63172,NA,2021,Hood
Hopkins County,County Total,2,10,2,41,40,92,34,221,36203,NA,2021,Hopkins
Houston County,County Total,0,10,1,29,73,145,23,281,22526,NA,2021,Houston
Howard County,County Total,6,10,21,197,216,613,102,1165,36337,NA,2021,Howard
Hudspeth County,County Total,0,3,0,9,1,2,1,16,5037,NA,2021,Hudspeth
Hunt County,County Total,3,46,41,428,307,832,219,1876,94187,NA,2021,Hunt
Hutchinson County,County Total,0,20,2,21,91,186,35,355,20325,NA,2021,Hutchinson
Irion County,County Total,0,0,0,1,8,8,3,20,1543,NA,2021,Irion
Jack County,County Total,0,5,0,8,17,16,7,53,8971,NA,2021,Jack
Jackson County,County Total,3,4,2,28,38,61,23,159,14784,NA,2021,Jackson
Jasper County,County Total,1,11,13,59,214,398,44,740,32961,NA,2021,Jasper
Jeff Davis County,County Total,0,0,0,3,0,1,1,5,2186,NA,2021,Jeff Davis
Jefferson County,County Total,23,192,337,1390,1314,3696,672,7624,247412,NA,2021,Jefferson
Jim Hogg County,County Total,0,0,0,10,18,16,10,54,5122,NA,2021,Jim Hogg
Jim Wells County,County Total,2,28,14,142,246,622,64,1118,35315,NA,2021,Jim Wells
Johnson County,County Total,6,125,26,389,266,1660,250,2722,189141,NA,2021,Johnson
Jones County,County Total,0,4,0,12,24,42,7,89,13356,NA,2021,Jones
Karnes County,County Total,0,6,1,29,41,114,9,200,15477,NA,2021,Karnes
Kaufman County,County Total,9,64,33,229,285,1137,224,1981,146179,NA,2021,Kaufman
Kendall County,County Total,1,14,1,28,77,266,60,447,47259,NA,2021,Kendall
Kenedy County,County Total,0,0,0,1,3,1,8,13,372,NA,2021,Kenedy
Kerr County,County Total,1,34,3,99,95,361,54,647,52673,NA,2021,Kerr
Kimble County,County Total,0,0,0,4,3,2,1,10,4332,NA,2021,Kimble
Kleberg County,County Total,8,13,8,120,99,484,33,765,29873,NA,2021,Kleberg
Knox County,County Total,0,1,0,2,1,5,0,9,1119,NA,2021,Knox
Lamar County,County Total,4,44,10,201,193,525,93,1070,49416,NA,2021,Lamar
Lamb County,County Total,0,8,1,15,48,61,15,148,10455,NA,2021,Lamb
Lampasas County,County Total,0,5,0,39,34,182,17,277,20202,NA,2021,Lampasas
La Salle County,County Total,0,0,1,15,17,22,5,60,6907,NA,2021,La Salle
Lavaca County,County Total,1,3,0,24,36,73,17,154,20049,NA,2021,Lavaca
Lee County,County Total,1,11,5,18,35,117,23,210,16041,NA,2021,Lee
Leon County,County Total,0,2,0,17,52,77,19,167,15538,NA,2021,Leon
Liberty County,County Total,3,55,13,124,182,520,290,1187,83886,NA,2021,Liberty
Limestone County,County Total,0,20,2,50,89,178,25,364,23090,NA,2021,Limestone
Lipscomb County,County Total,0,0,0,1,6,17,2,26,3064,NA,2021,Lipscomb
Live Oak County,County Total,0,0,0,1,2,3,6,12,2614,NA,2021,Live Oak
Llano County,County Total,0,6,3,19,67,139,27,261,18687,NA,2021,Llano
Loving County,County Total,0,1,0,2,1,16,1,21,195,NA,2021,Loving
Lubbock County,County Total,26,314,394,2253,2353,7208,1240,13788,312537,NA,2021,Lubbock
Lynn County,County Total,0,5,0,9,14,18,5,51,5247,NA,2021,Lynn
McCulloch County,County Total,2,1,0,12,79,48,21,163,7706,NA,2021,McCulloch
McLennan County,County Total,18,193,161,905,1208,4573,592,7650,249140,NA,2021,McLennan
Madison County,County Total,0,6,2,21,23,57,18,127,14270,NA,2021,Madison
Marion County,County Total,2,1,0,32,40,49,10,134,9810,NA,2021,Marion
Martin County,County Total,0,3,2,20,30,102,0,157,5870,NA,2021,Martin
Mason County,County Total,0,0,0,4,3,7,1,15,4335,NA,2021,Mason
Matagorda County,County Total,2,43,7,164,176,667,90,1149,36360,NA,2021,Matagorda
Maverick County,County Total,3,19,15,98,425,699,131,1390,58203,NA,2021,Maverick
Medina County,County Total,2,14,2,72,87,426,82,685,50611,NA,2021,Medina
Midland County,County Total,18,155,43,539,369,2132,421,3677,178487,NA,2021,Midland
Milam County,County Total,1,5,2,45,85,168,38,344,24467,NA,2021,Milam
Mills County,County Total,0,5,0,7,38,10,0,60,4779,NA,2021,Mills
Montague County,County Total,0,9,3,20,83,117,11,243,15742,NA,2021,Montague
Montgomery County,County Total,17,236,127,1007,1200,5818,989,9394,631547,NA,2021,Montgomery
Moore County,County Total,2,24,0,58,53,259,39,435,22118,NA,2021,Moore
Morris County,County Total,0,1,5,36,43,60,16,161,11243,NA,2021,Morris
Motley County,County Total,0,0,0,0,3,0,2,5,1171,NA,2021,Motley
Nacogdoches County,County Total,6,18,5,85,155,685,68,1022,64114,NA,2021,Nacogdoches
Navarro County,County Total,2,48,15,156,167,574,87,1049,50477,NA,2021,Navarro
Newton County,County Total,0,2,1,7,20,43,7,80,13182,NA,2021,Newton
Nolan County,County Total,0,10,8,59,116,114,23,330,14647,NA,2021,Nolan
Nueces County,County Total,20,282,481,2154,1880,7952,1056,13825,358819,NA,2021,Nueces
Ochiltree County,County Total,0,6,0,35,43,64,6,154,9449,NA,2021,Ochiltree
Oldham County,County Total,0,0,1,0,2,2,0,5,2123,NA,2021,Oldham
Orange County,County Total,5,36,17,146,318,685,169,1376,81645,NA,2021,Orange
Palo Pinto County,County Total,1,16,3,27,170,321,58,596,29322,NA,2021,Palo Pinto
Panola County,County Total,2,4,2,65,80,286,39,478,22629,NA,2021,Panola
Parker County,County Total,5,70,16,159,400,1235,179,2064,144221,NA,2021,Parker
Parmer County,County Total,0,3,0,6,12,26,15,62,9357,NA,2021,Parmer
Pecos County,County Total,0,1,0,7,16,36,9,69,8375,NA,2021,Pecos
Polk County,County Total,10,23,7,79,150,496,97,862,53283,NA,2021,Polk
Potter County,County Total,21,170,187,1215,1341,4733,892,8559,214148,NA,2021,Potter
Presidio County,County Total,0,0,0,1,0,2,0,3,2615,NA,2021,Presidio
Rains County,County Total,0,0,0,9,6,14,2,31,12603,NA,2021,Rains
Randall County,County Total,1,23,5,47,81,295,56,508,40619,NA,2021,Randall
Reagan County,County Total,0,4,1,0,4,20,4,33,3846,NA,2021,Reagan
Real County,County Total,0,1,0,4,93,21,5,124,3387,NA,2021,Real
Red River County,County Total,0,5,0,18,30,35,10,98,11792,NA,2021,Red River
Reeves County,County Total,2,6,1,53,24,96,9,191,10675,NA,2021,Reeves
Refugio County,County Total,2,0,2,3,25,34,29,95,6762,NA,2021,Refugio
Roberts County,County Total,0,0,0,0,0,0,0,0,795,NA,2021,Roberts
Robertson County,County Total,2,10,4,37,60,89,24,226,17045,NA,2021,Robertson
Rockwall County,County Total,0,39,5,79,125,897,88,1233,104913,NA,2021,Rockwall
Runnels County,County Total,0,5,1,19,52,42,11,130,10287,NA,2021,Runnels
Rusk County,County Total,5,21,10,143,177,554,97,1007,50833,NA,2021,Rusk
Sabine County,County Total,0,9,0,13,15,48,7,92,9160,NA,2021,Sabine
San Augustine County,County Total,0,2,1,13,95,49,13,173,8108,NA,2021,San Augustine
San Patricio County,County Total,2,26,14,63,118,556,43,822,43268,NA,2021,San Patricio
San Saba County,County Total,0,0,0,6,3,16,8,33,3135,NA,2021,San Saba
Schleicher County,County Total,0,0,0,2,4,7,0,13,2669,NA,2021,Schleicher
Scurry County,County Total,2,10,1,135,78,182,25,433,16471,NA,2021,Scurry
Shackelford County,County Total,0,1,0,1,2,8,0,12,3259,NA,2021,Shackelford
Shelby County,County Total,2,1,2,31,73,189,27,325,23487,NA,2021,Shelby
Smith County,County Total,10,105,66,653,648,3071,435,4988,233979,NA,2021,Smith
Somervell County,County Total,0,0,0,4,26,40,0,70,9114,NA,2021,Somervell
Starr County,County Total,0,15,2,90,172,284,48,611,63943,NA,2021,Starr
Stephens County,County Total,0,7,0,18,20,75,17,137,9213,NA,2021,Stephens
Sterling County,County Total,0,0,0,0,5,1,2,8,1322,NA,2021,Sterling
Sutton County,County Total,0,2,0,5,9,7,4,27,3670,NA,2021,Sutton
Swisher County,County Total,0,8,2,22,42,68,8,150,5943,NA,2021,Swisher
Tarrant County,County Total,165,1339,1229,6512,6464,36129,6710,58548,2076694,NA,2021,Tarrant
Taylor County,County Total,7,145,83,411,484,1996,218,3344,144260,NA,2021,Taylor
Terry County,County Total,0,5,5,29,37,72,17,165,12014,NA,2021,Terry
Throckmorton County,County Total,0,2,0,6,0,2,0,10,1458,NA,2021,Throckmorton
Titus County,County Total,0,27,9,94,95,356,43,624,32649,NA,2021,Titus
Tom Green County,County Total,7,83,46,269,522,2060,258,3245,119779,NA,2021,Tom Green
Travis County,County Total,92,783,1086,4119,5696,29054,5246,46076,1364478,NA,2021,Travis
Trinity County,County Total,0,1,1,12,48,44,17,123,11949,NA,2021,Trinity
Tyler County,County Total,4,2,2,23,87,105,38,261,21359,NA,2021,Tyler
Upshur County,County Total,5,30,5,58,161,244,44,547,38644,NA,2021,Upshur
Upton County,County Total,0,0,0,1,3,8,3,15,3617,NA,2021,Upton
Uvalde County,County Total,1,10,10,71,109,570,58,829,26506,NA,2021,Uvalde
Val Verde County,County Total,0,12,2,40,63,48,14,179,12849,NA,2021,Val Verde
Van Zandt County,County Total,4,9,9,87,207,218,34,568,57475,NA,2021,Van Zandt
Victoria County,County Total,5,85,45,347,420,1437,123,2462,91536,NA,2021,Victoria
Walker County,County Total,2,51,20,218,168,730,137,1326,71848,NA,2021,Walker
Waller County,County Total,2,23,17,136,141,342,64,725,56439,NA,2021,Waller
Ward County,County Total,0,17,5,22,69,168,45,326,12138,NA,2021,Ward
Washington County,County Total,0,10,6,117,55,225,31,444,35627,NA,2021,Washington
Webb County,County Total,13,112,98,642,440,2680,262,4247,273075,NA,2021,Webb
Wharton County,County Total,5,12,16,163,137,591,73,997,41309,NA,2021,Wharton
Wheeler County,County Total,0,2,0,5,6,6,1,20,3154,NA,2021,Wheeler
Wichita County,County Total,12,157,56,453,694,2369,428,4169,132017,NA,2021,Wichita
Wilbarger County,County Total,0,3,6,36,31,103,18,197,12336,NA,2021,Wilbarger
Willacy County,County Total,0,8,6,110,53,163,17,357,18116,NA,2021,Willacy
Williamson County,County Total,14,203,68,464,857,5819,531,7956,586556,NA,2021,Williamson
Wilson County,County Total,0,22,3,47,91,226,41,430,48603,NA,2021,Wilson
Winkler County,County Total,0,2,1,11,51,48,10,123,7895,NA,2021,Winkler
Wise County,County Total,5,34,6,78,54,379,32,588,71690,NA,2021,Wise
Wood County,County Total,1,13,7,43,128,223,36,451,46998,NA,2021,Wood
Yoakum County,County Total,0,4,2,12,12,53,10,93,8705,NA,2021,Yoakum
Young County,County Total,0,10,3,29,25,75,15,157,17665,NA,2021,Young
Zapata County,County Total,0,0,0,10,21,37,1,69,14039,NA,2021,Zapata
Zavala County,County Total,0,12,0,22,14,20,10,78,4557,NA,2021,Zavala
Anderson County,County Total,1,32,7,99,124,356,32,651,20230,NA,2022,Anderson
Andrews County,County Total,1,5,0,60,32,193,22,313,18380,NA,2022,Andrews
Angelina County,County Total,6,78,26,216,410,1296,187,2219,82128,NA,2022,Angelina
Aransas County,County Total,3,19,9,134,151,523,54,893,31050,NA,2022,Aransas
Archer County,County Total,0,1,0,0,4,2,2,9,1593,NA,2022,Archer
Armstrong County,County Total,0,0,0,1,4,12,8,25,1842,NA,2022,Armstrong
Atascosa County,County Total,3,5,5,146,213,624,146,1142,51974,NA,2022,Atascosa
Austin County,County Total,1,12,1,39,56,160,41,310,30837,NA,2022,Austin
Bailey County,County Total,0,0,0,2,5,28,3,38,6852,NA,2022,Bailey
Bandera County,County Total,0,3,0,28,52,70,20,173,22292,NA,2022,Bandera
Bastrop County,County Total,10,76,23,379,245,941,208,1882,108569,NA,2022,Bastrop
Baylor County,County Total,0,1,0,1,7,4,5,18,3511,NA,2022,Baylor
Bee County,County Total,1,7,8,73,472,322,50,933,31043,NA,2022,Bee
Bell County,County Total,31,221,136,1018,986,4253,681,7326,386098,NA,2022,Bell
Bexar County,County Total,247,1694,1884,10590,11040,60421,13897,99773,2056933,NA,2022,Bexar
Blanco County,County Total,1,4,0,17,20,59,8,109,10617,NA,2022,Blanco
Borden County,County Total,0,0,0,1,2,6,0,9,598,NA,2022,Borden
Bosque County,County Total,0,2,1,14,31,38,4,90,18898,NA,2022,Bosque
Bowie County,County Total,4,26,37,174,199,1149,195,1784,91424,NA,2022,Bowie
Brazoria County,County Total,9,127,96,496,771,4517,531,6547,397134,NA,2022,Brazoria
Brazos County,County Total,3,118,24,263,410,2891,330,4039,241050,NA,2022,Brazos
Brewster County,County Total,0,1,1,9,8,15,3,37,9391,NA,2022,Brewster
Briscoe County,County Total,0,0,0,0,5,5,2,12,1393,NA,2022,Briscoe
Brooks County,County Total,0,1,1,10,4,4,2,22,7000,NA,2022,Brooks
Brown County,County Total,3,23,6,91,143,439,54,759,38613,NA,2022,Brown
Burleson County,County Total,0,9,3,22,51,75,21,181,18578,NA,2022,Burleson
Burnet County,County Total,3,29,2,93,124,330,54,635,49725,NA,2022,Burnet
Caldwell County,County Total,2,16,7,54,51,159,62,351,46366,NA,2022,Caldwell
Calhoun County,County Total,1,10,0,34,49,200,22,316,19529,NA,2022,Calhoun
Callahan County,County Total,0,2,2,13,39,37,13,106,14577,NA,2022,Callahan
Cameron County,County Total,11,165,214,1239,959,6066,500,9154,421773,NA,2022,Cameron
Camp County,County Total,1,5,1,17,43,71,18,156,12861,NA,2022,Camp
Carson County,County Total,0,2,0,16,0,14,4,36,5719,NA,2022,Carson
Cass County,County Total,2,7,3,28,67,121,20,248,28571,NA,2022,Cass
Castro County,County Total,2,2,1,7,11,18,6,47,7455,NA,2022,Castro
Chambers County,County Total,11,30,11,107,156,677,154,1146,46257,NA,2022,Chambers
Cherokee County,County Total,4,11,4,193,142,511,110,975,51931,NA,2022,Cherokee
