date,count,day
2022-10-16T00:00:00Z,698,Sunday
2022-10-15T00:00:00Z,680,Saturday
2022-10-14T00:00:00Z,728,Friday
2022-10-13T00:00:00Z,668,Thursday
2022-10-12T00:00:00Z,656,Wednesday
2022-10-11T00:00:00Z,663,Tuesday
2022-10-10T00:00:00Z,699,Monday
2022-10-09T00:00:00Z,680,Sunday
2022-10-08T00:00:00Z,733,Saturday
2022-10-07T00:00:00Z,752,Friday
2022-10-06T00:00:00Z,734,Thursday
2022-10-05T00:00:00Z,726,Wednesday
2022-10-04T00:00:00Z,728,Tuesday
2022-10-03T00:00:00Z,738,Monday
2022-10-02T00:00:00Z,672,Sunday
2022-10-01T00:00:00Z,803,Saturday
2022-09-30T00:00:00Z,755,Friday
2022-09-29T00:00:00Z,639,Thursday
2022-09-28T00:00:00Z,645,Wednesday
2022-09-27T00:00:00Z,623,Tuesday
2022-09-26T00:00:00Z,669,Monday
2022-09-25T00:00:00Z,701,Sunday
2022-09-24T00:00:00Z,706,Saturday
2022-09-23T00:00:00Z,723,Friday
2022-09-22T00:00:00Z,660,Thursday
2022-09-21T00:00:00Z,687,Wednesday
2022-09-20T00:00:00Z,715,Tuesday
2022-09-19T00:00:00Z,699,Monday
2022-09-18T00:00:00Z,667,Sunday
2022-09-17T00:00:00Z,673,Saturday
2022-09-16T00:00:00Z,741,Friday
2022-09-15T00:00:00Z,696,Thursday
2022-09-14T00:00:00Z,643,Wednesday
2022-09-13T00:00:00Z,723,Tuesday
2022-09-12T00:00:00Z,694,Monday
2022-09-11T00:00:00Z,730,Sunday
2022-09-10T00:00:00Z,755,Saturday
2022-09-09T00:00:00Z,755,Friday
2022-09-08T00:00:00Z,688,Thursday
2022-09-07T00:00:00Z,702,Wednesday
2022-09-06T00:00:00Z,686,Tuesday
2022-09-05T00:00:00Z,659,Monday
2022-09-04T00:00:00Z,733,Sunday
2022-09-03T00:00:00Z,698,Saturday
2022-09-02T00:00:00Z,778,Friday
2022-09-01T00:00:00Z,757,Thursday
2022-08-31T00:00:00Z,678,Wednesday
2022-08-30T00:00:00Z,636,Tuesday
2022-08-29T00:00:00Z,699,Monday
2022-08-28T00:00:00Z,725,Sunday
2022-08-27T00:00:00Z,729,Saturday
2022-08-26T00:00:00Z,742,Friday
2022-08-25T00:00:00Z,704,Thursday
2022-08-24T00:00:00Z,668,Wednesday
2022-08-23T00:00:00Z,697,Tuesday
2022-08-22T00:00:00Z,746,Monday
2022-08-21T00:00:00Z,649,Sunday
2022-08-20T00:00:00Z,740,Saturday
2022-08-19T00:00:00Z,703,Friday
2022-08-18T00:00:00Z,678,Thursday
2022-08-17T00:00:00Z,774,Wednesday
2022-08-16T00:00:00Z,675,Tuesday
2022-08-15T00:00:00Z,682,Monday
2022-08-14T00:00:00Z,695,Sunday
2022-08-13T00:00:00Z,721,Saturday
2022-08-12T00:00:00Z,711,Friday
2022-08-11T00:00:00Z,697,Thursday
2022-08-10T00:00:00Z,652,Wednesday
2022-08-09T00:00:00Z,690,Tuesday
2022-08-08T00:00:00Z,675,Monday
2022-08-07T00:00:00Z,712,Sunday
2022-08-06T00:00:00Z,728,Saturday
2022-08-05T00:00:00Z,763,Friday
2022-08-04T00:00:00Z,796,Thursday
2022-08-03T00:00:00Z,758,Wednesday
2022-08-02T00:00:00Z,708,Tuesday
2022-08-01T00:00:00Z,870,Monday
2022-07-31T00:00:00Z,667,Sunday
2022-07-30T00:00:00Z,750,Saturday
2022-07-29T00:00:00Z,680,Friday
2022-07-28T00:00:00Z,765,Thursday
2022-07-27T00:00:00Z,692,Wednesday
2022-07-26T00:00:00Z,730,Tuesday
2022-07-25T00:00:00Z,748,Monday
2022-07-24T00:00:00Z,669,Sunday
2022-07-23T00:00:00Z,754,Saturday
2022-07-22T00:00:00Z,688,Friday
2022-07-21T00:00:00Z,749,Thursday
2022-07-20T00:00:00Z,672,Wednesday
2022-07-19T00:00:00Z,682,Tuesday
2022-07-18T00:00:00Z,738,Monday
2022-07-17T00:00:00Z,658,Sunday
2022-07-16T00:00:00Z,698,Saturday
2022-07-15T00:00:00Z,723,Friday
2022-07-14T00:00:00Z,660,Thursday
2022-07-13T00:00:00Z,715,Wednesday
2022-07-12T00:00:00Z,736,Tuesday
2022-07-11T00:00:00Z,709,Monday
2022-07-10T00:00:00Z,738,Sunday
2022-07-09T00:00:00Z,755,Saturday
2022-07-08T00:00:00Z,742,Friday
2022-07-07T00:00:00Z,778,Thursday
2022-07-06T00:00:00Z,742,Wednesday
2022-07-05T00:00:00Z,687,Tuesday
2022-07-04T00:00:00Z,599,Monday
2022-07-03T00:00:00Z,710,Sunday
2022-07-02T00:00:00Z,756,Saturday
2022-07-01T00:00:00Z,837,Friday
2022-06-30T00:00:00Z,759,Thursday
2022-06-29T00:00:00Z,707,Wednesday
2022-06-28T00:00:00Z,670,Tuesday
2022-06-27T00:00:00Z,641,Monday
2022-06-26T00:00:00Z,668,Sunday
2022-06-25T00:00:00Z,717,Saturday
2022-06-24T00:00:00Z,724,Friday
2022-06-23T00:00:00Z,763,Thursday
2022-06-22T00:00:00Z,739,Wednesday
2022-06-21T00:00:00Z,656,Tuesday
2022-06-20T00:00:00Z,670,Monday
2022-06-19T00:00:00Z,638,Sunday
2022-06-18T00:00:00Z,700,Saturday
2022-06-17T00:00:00Z,700,Friday
2022-06-16T00:00:00Z,701,Thursday
2022-06-15T00:00:00Z,772,Wednesday
2022-06-14T00:00:00Z,693,Tuesday
2022-06-13T00:00:00Z,668,Monday
2022-06-12T00:00:00Z,689,Sunday
2022-06-11T00:00:00Z,744,Saturday
2022-06-10T00:00:00Z,759,Friday
2022-06-09T00:00:00Z,735,Thursday
2022-06-08T00:00:00Z,723,Wednesday
2022-06-07T00:00:00Z,646,Tuesday
2022-06-06T00:00:00Z,648,Monday
2022-06-05T00:00:00Z,682,Sunday
2022-06-04T00:00:00Z,733,Saturday
2022-06-03T00:00:00Z,725,Friday
2022-06-02T00:00:00Z,729,Thursday
2022-06-01T00:00:00Z,822,Wednesday
2022-05-31T00:00:00Z,769,Tuesday
2022-05-30T00:00:00Z,658,Monday
2022-05-29T00:00:00Z,671,Sunday
2022-05-28T00:00:00Z,759,Saturday
2022-05-27T00:00:00Z,770,Friday
2022-05-26T00:00:00Z,754,Thursday
2022-05-25T00:00:00Z,782,Wednesday
2022-05-24T00:00:00Z,697,Tuesday
2022-05-23T00:00:00Z,755,Monday
2022-05-22T00:00:00Z,705,Sunday
2022-05-21T00:00:00Z,711,Saturday
2022-05-20T00:00:00Z,749,Friday
2022-05-19T00:00:00Z,690,Thursday
2022-05-18T00:00:00Z,663,Wednesday
2022-05-17T00:00:00Z,694,Tuesday
2022-05-16T00:00:00Z,633,Monday
2022-05-15T00:00:00Z,667,Sunday
2022-05-14T00:00:00Z,677,Saturday
2022-05-13T00:00:00Z,712,Friday
2022-05-12T00:00:00Z,628,Thursday
2022-05-11T00:00:00Z,743,Wednesday
2022-05-10T00:00:00Z,744,Tuesday
2022-05-09T00:00:00Z,654,Monday
2022-05-08T00:00:00Z,648,Sunday
2022-05-07T00:00:00Z,702,Saturday
2022-05-06T00:00:00Z,754,Friday
2022-05-05T00:00:00Z,719,Thursday
2022-05-04T00:00:00Z,747,Wednesday
2022-05-03T00:00:00Z,750,Tuesday
2022-05-02T00:00:00Z,762,Monday
2022-05-01T00:00:00Z,855,Sunday
2022-04-30T00:00:00Z,756,Saturday
2022-04-29T00:00:00Z,767,Friday
2022-04-28T00:00:00Z,703,Thursday
2022-04-27T00:00:00Z,732,Wednesday
2022-04-26T00:00:00Z,644,Tuesday
2022-04-25T00:00:00Z,625,Monday
2022-04-24T00:00:00Z,679,Sunday
2022-04-23T00:00:00Z,721,Saturday
2022-04-22T00:00:00Z,692,Friday
2022-04-21T00:00:00Z,663,Thursday
2022-04-20T00:00:00Z,713,Wednesday
2022-04-19T00:00:00Z,661,Tuesday
2022-04-18T00:00:00Z,719,Monday
2022-04-17T00:00:00Z,627,Sunday
2022-04-16T00:00:00Z,727,Saturday
2022-04-15T00:00:00Z,736,Friday
2022-04-14T00:00:00Z,764,Thursday
2022-04-13T00:00:00Z,689,Wednesday
2022-04-12T00:00:00Z,752,Tuesday
2022-04-11T00:00:00Z,724,Monday
2022-04-10T00:00:00Z,669,Sunday
2022-04-09T00:00:00Z,662,Saturday
2022-04-08T00:00:00Z,722,Friday
2022-04-07T00:00:00Z,793,Thursday
2022-04-06T00:00:00Z,787,Wednesday
2022-04-05T00:00:00Z,745,Tuesday
2022-04-04T00:00:00Z,753,Monday
2022-04-03T00:00:00Z,714,Sunday
2022-04-02T00:00:00Z,734,Saturday
2022-04-01T00:00:00Z,900,Friday
2022-03-31T00:00:00Z,756,Thursday
2022-03-30T00:00:00Z,731,Wednesday
2022-03-29T00:00:00Z,773,Tuesday
2022-03-28T00:00:00Z,796,Monday
2022-03-27T00:00:00Z,723,Sunday
2022-03-26T00:00:00Z,709,Saturday
2022-03-25T00:00:00Z,729,Friday
2022-03-24T00:00:00Z,719,Thursday
2022-03-23T00:00:00Z,715,Wednesday
2022-03-22T00:00:00Z,688,Tuesday
2022-03-21T00:00:00Z,690,Monday
2022-03-20T00:00:00Z,686,Sunday
2022-03-19T00:00:00Z,720,Saturday
2022-03-18T00:00:00Z,697,Friday
2022-03-17T00:00:00Z,672,Thursday
2022-03-16T00:00:00Z,678,Wednesday
