Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-03-27T00:00:00Z,21,Theft,10H40,Restaurant or Cafeteria Parking Lot,3700-3799,ALMEDA,RD,-,1
2015-03-27T00:00:00Z,10,Theft,10H40,Driveway,2900-2999,JACKSON,ST,-,1
2015-03-26T00:00:00Z,00,Theft,10H40,"Road, Street, or Sidewalk",700-799,HADLEY,ST,-,1
2015-03-28T00:00:00Z,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-29T00:00:00Z,21,Theft,10H40,Apartment Parking Lot,3800-3899,MAIN,ST,-,1
2015-03-30T00:00:00Z,10,Burglary,10H40,Residence or House,3200-3299,JACKSON,ST,-,1
2015-03-31T00:00:00Z,10,Burglary,10H40,Residence or House,1700-1799,ELGIN,ST,-,1
2015-03-16T00:00:00Z,17,Theft,10H40,Grocery Store or Supermarket,3300-3399,FANNIN,ST,-,1
2015-03-15T00:00:00Z,18,Auto Theft,10H40,"Road, Street, or Sidewalk",2700-2799,TRAVIS,-,-,1
2015-03-21T00:00:00Z,01,Theft,10H40,Other Parking Lot,1000-1099,BERRY,ST,-,1
2015-03-12T00:00:00Z,11,Theft,10H40,Driveway,2300-2399,CHENEVERT,-,-,1
2015-03-08T00:00:00Z,09,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2015-03-08T00:00:00Z,17,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-03T00:00:00Z,08,Auto Theft,10H40,Driveway,4400-4499,FANNIN,ST,-,1
2015-03-01T00:00:00Z,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-01T00:00:00Z,23,Aggravated Assault,10H40,Bar or Night Club,1000-1099,BREMOND,ST,-,1
2015-03-02T00:00:00Z,03,Robbery,10H40,"Road, Street, or Sidewalk",4500-4599,TRAVIS,-,-,1
2015-03-04T00:00:00Z,07,Auto Theft,10H40,"Road, Street, or Sidewalk",1000-1099,MCGOWEN,ST,-,1
2015-03-11T00:00:00Z,18,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-11T00:00:00Z,07,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-08T00:00:00Z,14,Theft,10H40,Service or Gas Station,1000-1099,ALABAMA,ST,-,1
2015-03-09T00:00:00Z,19,Theft,10H40,"Road, Street, or Sidewalk",1300-1399,MCILHENNY,ST,-,1
2015-03-12T00:00:00Z,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-07T00:00:00Z,00,Theft,10H40,Garage or Carport,1500-1599,DREW,ST,-,1
2015-03-07T00:00:00Z,12,Burglary,10H40,"Vacant Single Occ Resd(House,Townhs,Dplex)",1700-1799,DREW,ST,-,1
2015-03-07T00:00:00Z,14,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-,1
2015-03-05T00:00:00Z,22,Aggravated Assault,10H40,"Road, Street, or Sidewalk",4500-4599,MAIN,ST,-,1
2015-03-02T00:00:00Z,20,Burglary,10H40,Residence or House,2100-2199,MAIN,ST,-,1
2015-02-28T00:00:00Z,18,Theft,10H40,Bar or Night Club,2400-2499,SAN JACINTO,-,-,1
2015-03-01T00:00:00Z,11,Theft,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST,-,1
