Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
05/28/2017,12,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,BERRY ST,ST,-,1
05/29/2017,19,Aggravated Assault,10H40,Apartment,1600-1699,MCGOWEN ST,ST,-,1
05/30/2017,20,AutoTheft,10H40,Commercial Parking Lot or Garage,2000-2099,MAIN ST,ST,-,1
05/30/2017,10,Theft,10H40,Bar or Night Club,900-999,MCGOWEN ST,ST,-,1
05/31/2017,19,Theft,10H40,Garage or Carport,2300-2399,TRAVIS,-,-,1
05/01/2017,20,Robbery,10H50,"Road, Street, or Sidewalk",15600-15699,S. BRENTWOOD,-,-,1
05/01/2017,09,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3400-3499,GULF FWY OB,-,-,1
05/02/2017,13,Theft,10H50,"Road, Street, or Sidewalk",3300-3399,SIMMONS,-,-,1
05/02/2017,11,Theft,10H50,Driveway,2300-2399,HADLEY ST,ST,-,1
05/02/2017,12,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2300-2399,ELGIN ST,ST,-,1
05/02/2017,09,AutoTheft,10H50,Apartment Parking Lot,3000-3099,MILBY,-,-,1
05/02/2017,19,Theft,10H50,"Road, Street, or Sidewalk",2900-2999,CROSSVIEW D16,-,-,1
05/03/2017,14,Burglary,10H50,Residence or House,2300-2399,BASTROP ST,ST,-,1
