beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",28775,Violent,820,948,867,306,901,2635,878.3,5.7,9.9,3.9,3,2849.7,3294.5,3013,3131.2,3052.3
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18353,Violent,274,305,260,72,233,839,279.7,-5.1,-15,-10.4,-17,1492.9,1661.9,1416.7,1269.5,1524
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26103,Violent,781,850,792,287,806,2423,807.7,1.4,3.2,1.8,-0,2992,3256.3,3034.1,3087.8,3094.3
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",27946,Violent,573,523,594,212,641,1690,563.3,3.7,11.9,7.9,14,2050.4,1871.5,2125.5,2293.7,2015.7
20G70,20,2.38283582,Westpark Village and Ashford Point,20787,Violent,428,481,462,165,487,1371,457,7.9,13.8,5.4,7,2059,2313.9,2222.5,2342.8,2198.5
20G80,20,25.33626534,City Limits,37327,Violent,474,547,571,192,566,1592,530.7,20.5,19.4,-0.9,7,1269.9,1465.4,1529.7,1516.3,1421.8
21I10,21,0.00549966,Hobby Airport,0,Violent,17,9,29,5,24,55,18.3,70.6,41.2,-17.2,31,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Violent,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Violent,3,2,2,3,5,7,2.3,-33.3,66.7,150,117,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Violent,68,49,62,21,70,179,59.7,-8.8,2.9,12.9,17,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8046,Violent,375,401,375,116,377,1151,383.7,0,0.5,0.5,-2,4660.7,4983.8,4660.7,4685.6,4768.8
5F20,5,5.94082911,Spring Branch and Schwartz Park,41925,Violent,795,874,871,215,805,2540,846.7,9.6,1.3,-7.6,-5,1896.2,2084.7,2077.5,1920.1,2019.6
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",22505,Violent,423,406,397,112,384,1226,408.7,-6.1,-9.2,-3.3,-6,1879.6,1804,1764.1,1706.3,1816
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30070,Violent,214,207,235,59,210,656,218.7,9.8,-1.9,-10.6,-4,711.7,688.4,781.5,698.4,727.3
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",27918,Violent,390,365,372,132,401,1127,375.7,-4.6,2.8,7.8,7,1396.9,1307.4,1332.5,1436.3,1345.7
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",22500,Violent,254,325,314,89,277,893,297.7,23.6,9.1,-11.8,-7,1128.9,1444.4,1395.6,1231.1,1323.1
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",17589,Violent,274,307,316,76,277,897,299,15.3,1.1,-12.3,-7,1557.8,1745.4,1796.6,1574.8,1699.9
24C10,24,5.44044978,Kingwood,13401,Violent,105,141,106,36,107,352,117.3,1,1.9,0.9,-9,783.5,1052.2,791,798.4,875.3
24C20,24,6.8291794,Kingwood,17897,Violent,79,96,113,40,112,288,96,43,41.8,-0.9,17,441.4,536.4,631.4,625.8,536.4
24C30,24,9.78735527,Kingwood,28717,Violent,101,88,97,22,85,286,95.3,-4,-15.8,-12.4,-11,351.7,306.4,337.8,296,331.9
24C40,24,35.7992771,Kingwood,6374,Violent,59,64,78,24,83,201,67,32.2,40.7,6.4,24,925.6,1004.1,1223.7,1302.2,1051.1
24C50,24,7.51791807,Kingwood,5184,Violent,79,90,84,38,98,253,84.3,6.3,24.1,16.7,16,1523.9,1736.1,1620.4,1890.4,1626.2
24C60,24,4.86823328,Kingwood,21021,Violent,57,40,55,9,50,152,50.7,-3.5,-12.3,-9.1,-1,271.2,190.3,261.6,237.9,241.2
21I60,21,0.01236886,Hobby Airport,0,Violent,6,1,4,7,8,11,3.7,-33.3,33.3,100,116,NA,NA,NA,NA,NA
HCC1,NA,NA,NA,NA,Violent,0,1,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA
HCC5,NA,NA,NA,NA,Violent,1,0,0,0,0,1,0.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Violent,1,10,0,0,0,11,3.7,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Violent,162,156,18,7,9,336,112,-88.9,-94.4,-50,-92,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Violent,216,169,24,7,15,409,136.3,-88.9,-93.1,-37.5,-89,NA,NA,NA,NA,NA
UH-3PD,NA,NA,NA,NA,Violent,0,1,1,0,0,2,0.7,NA,NA,-100,-100,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Violent,14,10,5,3,6,29,9.7,-64.3,-57.1,20,-38,NA,NA,NA,NA,NA
