beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,projected22,last12mos,inc_19to21,inc_19to22sofar,inc_21to22sofar,inc_3yearto22sofar,rate19,rate20,rate21,rate22,rate_last12,rate_multiyear
20G70,20,2.38283582,Westpark Village and Ashford Point,17627,Theft,376,401,422,73,452,68185,12.2,20.2,7.1,13,2133.1,2274.9,2394.1,2564.2,386821.4,2267.4
20G80,20,25.33626534,City Limits,43831,Theft,837,791,868,151,934,68185,3.7,11.6,7.6,12,1909.6,1804.7,1980.3,2130.9,155563.4,1898.2
21I10,21,0.00549966,Hobby Airport,0,Theft,258,133,165,26,161,68185,-36,-37.6,-2.4,-13,NA,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Theft,3,0,6,0,0,68185,100,-100,-100,-100,NA,NA,NA,NA,NA,NA
21I30,21,0.01180375,Hobby Airport,0,Theft,7,2,2,0,0,68185,-71.4,-100,-100,-100,NA,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Theft,15,6,2,1,6,68185,-86.7,-60,200,-22,NA,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Theft,333,166,241,24,148,68185,-27.6,-55.6,-38.6,-40,NA,NA,NA,NA,NA,NA
21I70,21,0.01945113,Hobby Airport,0,Theft,5,1,2,0,0,68185,-60,-100,-100,-100,NA,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",9438,Theft,1384,1117,1407,250,1547,68185,1.7,11.8,10,19,14664.1,11835.1,14907.8,16391.2,722451.8,13802.4
5F20,5,5.94082911,Spring Branch and Schwartz Park,40672,Theft,668,722,697,115,711,68185,4.3,6.4,2,2,1642.4,1775.2,1713.7,1748.1,167646,1710.4
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",22753,Theft,731,795,726,142,878,68185,-0.7,20.1,20.9,17,3212.8,3494,3190.8,3858.8,299674.8,3299.2
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",29121,Theft,1422,1133,1103,220,1361,68185,-22.4,-4.3,23.4,12,4883.1,3890.7,3787.6,4673.6,234143.7,4187.1
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28026,Theft,580,510,559,101,625,68185,-3.6,7.8,11.8,14,2069.5,1819.7,1994.6,2230.1,243291.9,1961.3
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",19674,Theft,709,670,690,95,588,68185,-2.7,-17.1,-14.8,-15,3603.7,3405.5,3507.2,2988.7,346574.2,3505.5
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",22447,Theft,683,703,782,112,693,68185,14.5,1.5,-11.4,-4,3042.7,3131.8,3483.8,3087.3,303760,3219.4
24C10,24,5.44044978,Kingwood,13978,Theft,194,172,152,22,136,68185,-21.6,-29.9,-10.5,-21,1387.9,1230.5,1087.4,973,487802.3,1235.3
24C20,24,6.8291794,Kingwood,16796,Theft,152,154,129,18,111,68185,-15.1,-27,-14,-23,905,916.9,768,660.9,405959.8,863.3
24C30,24,9.78735527,Kingwood,25084,Theft,195,173,156,39,241,68185,-20,23.6,54.5,38,777.4,689.7,621.9,960.8,271826.7,696.3
24C40,24,35.7992771,Kingwood,23502,Theft,51,69,67,6,37,68185,31.4,-27.5,-44.8,-41,217,293.6,285.1,157.4,290124.2,265.2
24C50,24,7.51791807,Kingwood,5823,Theft,197,364,384,64,396,68185,94.9,101,3.1,26,3383.1,6251.1,6594.5,6800.6,1170960,5409.6
24C60,24,4.86823328,Kingwood,12811,Theft,66,64,58,11,68,68185,-12.1,3,17.2,9,515.2,499.6,452.7,530.8,532237.9,489.2
21I60,21,0.01236886,Hobby Airport,0,Theft,40,22,16,1,6,68185,-60,-85,-62.5,-77,NA,NA,NA,NA,NA,NA
HCC5,NA,NA,NA,NA,Theft,3,0,2,0,0,68185,-33.3,-100,-100,-100,NA,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Theft,2,9,0,0,0,68185,-100,-100,NA,-100,NA,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Theft,130,121,13,0,0,68185,-90,-100,-100,-100,NA,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Theft,184,141,18,3,19,68185,-90.2,-89.7,5.6,-83,NA,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Theft,35,23,9,2,12,68185,-74.3,-65.7,33.3,-46,NA,NA,NA,NA,NA,NA
